Outcome_ID_1,Outcome_ID_2,Outcome_ID_3,Outcome_ID_4,Outcome_ID_5,Outcome_ID_6,Outcome_ID_7,Outcome_ID_8,Outcome_ID_9,Outcome_ID_10
"The achievement multiple choice items and part of the performance assessment were designed to assess students’ general science achievement in the domain of sinking and floating and relative density. To adjust for this slight pre-existing difference between groups, a multivariate analysis of covariance (MANCOVA) was conducted using posttest scores as dependent variables, total pretest multiple choice scores (the sum of achievement and diagnostic items) as the covariate, and group membership as the independent variable.","The achievement multiple choice items and part of the performance assessment were designed to assess students’ general science achievement in the domain of sinking and floating and relative density. To adjust for this slight pre-existing difference between groups, a multivariate analysis of covariance (MANCOVA) was conducted using posttest scores as dependent variables, total pretest multiple choice scores (the sum of achievement and diagnostic items) as the covariate, and group membership as the independent variable. ",NA,NA,NA,NA,NA,NA,NA,NA
"Tests were designed by the middle school math teachers during a district sponsored summer workshop. According to the teacher test developers, items on the tests corresponded directly with expectations of what the students should learn during the first trimester consistent with the California State Standards. Both groups of student assessments were part of an on-line assessment system for those classroom sections in the treatment group. Sub-test scores were also computed for the five math standards areas covered on each benchmark exam  1) operations with integers and absolute value (8 questions), 2) simplifying and evaluating variable expressions (7 questions), 3) use of properties and order of operations (7 questions), 4) translating phrases and mathematical reasoning (6 questions), and 5) one-step equations and inequalities (6 questions). Means, frequencies, and z-scores were calculated for each total and sub-test for individual students and for treatment groups.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Four parallel versions of a spelling test (dictation of words), each consisting of 45 typical spelling cases, were used as achievement measures. Scores could vary from 0 (very good) to 45 (very bad).","Four parallel versions of a spelling test (dictation of words), each consisting of 45 typical spelling cases, were used as achievement measures. Scores could vary from 0 (very good) to 45 (very bad).",NA,NA,NA,NA,NA,NA,NA,NA
"The content test was developed locally and adapted from the Physical Science textbook test bank (McLaughlin, Rillero, Thompson & Zike, 2002). The test was composed of approximately 35 multiple choice questions taken directly from the corresponding learning objectives for each unit. The test questions were designed by the publisher to assess the content in the associated chapter in the book, which helped to assure that test questions matched the unit content. All test questions were checked for adherence to established guidelines for the development of multiple-choice test items (Haladyna, 1999). Independent analysis of content validity was conducted by two volunteer teachers with experience in science education and test construction. Questions were modified until reviewers reached 100% agreement.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Otis-Lennon School Ability Test versus active control (mastery learning),"Nine-week grades were calculated by each teacher, and were given in the form of letter grades (i.e., E, S+, S, and S-). Each letter grade was assigned a percentage based upon the number of words correct. The letter grade ""E"" equaled 100%, and the letters S+, S, and S- were assigned the percentages of 90, 80, and 70 respectively.  Versus active control mastery learning (Scott, Foresman and Company spelling curriculum.)","Test of Written Spelling-Revised. The Test of Written Spelling-Revised (TWS-2  Larsen & Hammill, 1986) was designed to assess students' ability to spell predictable words (words that follow common English orthographic rules) and unpredictable words (those that do not follow orthographic rules). It consists of those two subtests and can be administered in grades one to 12 (Erickson, 1989  Vamhagen, 1986). Versus active control - mastery learning.",NA,NA,NA,NA,NA,NA,NA
CompLEC was subsequently administered to the experi- mental and control groups to evaluate reading literacy skills,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The summaries were scored in the same fashion by all three graders  They first provided a score for each section of the summary taking only the content adequacy into consideration, using a 3-point scale ranging from 0 (no information about this section) to 1 (some information but not enough) to 2 (adequate section coverage).   Numbers inferred from total N (52)","The teachers scored the summaries in their usual fashion, using a holistic score to evaluate the overall quality of the summary, and taking into account other This scale consisted of 5 points, corresponding to the conventionally used A to F grades. Reliability between CM and RL’s grades and LK’s grades was r = .62. Numbers inferred from overall total N (52)",NA,NA,NA,NA,NA,NA,NA,NA
"Achievement was measured by four 60-item unit exams and a comprehensive final examination. The textual material used in this study consisted of revised, published materials dealing with automobile ignition systems. Immediate cognitive achievement and delayed cognitive achievement related to the composite instructional material were assessed with the same achievement test. Data from Table 2. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,NA,NA
"The standardized tests ofreading comprehensionwere forms A and B ofthe Gray Silent Reading Test (Wiederholt & Blalock, 2000). Form B was administered at pretest and Form A was administered at post-test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Gray Silent Reading Test (GSRT  Wiederholt & Blalock, 2000) Form B was administered at pretest and Form A was administered at posttest.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Gray Silent Reading Test (GSRT  Wiederholt & Blalock, 2000) Form B was administered at pretest and Form A was administered at posttest.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"In many cases, these were the results on the national tests for 14-year-olds or the grades on the national school-leaving examination (the GCSE), but in some cases we made use of scores from school assessments (particularly in science, where modular approaches meant that scores on end-of-module tests were available). Calculation from SE = (upper limit – lower limit) / 3.92, using 0.48 and 0.16 as confidence intervals. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
Pretest and posttest measures included a modified form of the Holistic Scoring Rubric from the 1988 Maryland Writing Test Scoring Guide adapted for this study to assess overall writing quality (see Appendix B ) .,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The feedback given defines the structure or parts of a narrative in terms of a set of questions. A narrative is structurally complete if all the parts are there, that is, if all the questions can be readily answered by the reader, without any confusion or ambiguity.","It concerns the thoroughness by which each major question is answered. In scoring for this section you will count the number of words that carry information related to each of the questions. To simplify matters, count not only words that obviously carry information or have ""meaning,"" nouns, adjectives, adverbs, verbs, but also ""function words"" as well, prepositions, conjunc­ tions, articles.","In scoring for this section, simply each word is counted and assigned one point per word w/o considering meaning or quality. If a word is misspelled or incomplete, it is counted as a whole word. For the sake of consistency in scoring, all words or parts of words that are joined by a hyphen as a single word are counted, whether or not the hyphen is used correctly.",NA,NA,NA,NA,NA,NA,NA
"The feedback given defines the structure or parts of a narrative in terms of a set of questions. A narrative is structurally complete if all the parts are there, that is, if all the questions can be readily answered by the reader, without any confusion or ambiguity.","It concerns the thoroughness by which each major question is answered. In scoring for this section you will count the number of words that carry information related to each of the questions. To simplify matters, count not only words that obviously carry information or have ""meaning,"" nouns, adjectives, adverbs, verbs, but also ""function words"" as well, prepositions, conjunc­ tions, articles.","In scoring for this section, simply each word is counted and assigned one point per word w/o considering meaning or quality. If a word is misspelled or incomplete, it is counted as a whole word. For the sake of consistency in scoring, all words or parts of words that are joined by a hyphen as a single word are counted, whether or not the hyphen is used correctly.",NA,NA,NA,NA,NA,NA,NA
A reading achievement test was administered (1) immediately prior to the beginning of each eight-week intervention phase and (2) at the end of each phase. Alternate forms of the Metropolitan Achievement Test were used for the administrations (pretest/Form F  posttests/Form G). ,A reading achievement test was administered (1) immediately prior to the beginning of each eight-week intervention phase and (2) at the end of each phase. Alternate forms of the Metropolitan Achievement Test were used for the administrations (pretest/Form F  posttests/Form G). ,A reading achievement test was administered (1) immediately prior to the beginning of each eight-week intervention phase and (2) at the end of each phase. Alternate forms of the Metropolitan Achievement Test were used for the administrations (pretest/Form F  posttests/Form G). ,NA,NA,NA,NA,NA,NA,NA
"The initial multiple-choice items were piloted in CRDG’s University Laboratory School at the University of Hawaii to ensure that the items designed met the goals established by SEAL. The revised achievement test included 35 items. Five more items were added at posttest. Among the five new items, MC36 tested students’ procedural knowledge of how to calculate density based on mass and volume in formation, and the other four items examined common alternative conceptions about sinking and floating. Data from Table 5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Results from post-test writing prompts. Each pretest had a matched posttest. They were similar in theme and genre. The three prompt topics were  situation, picture and poem. Data from Table 4. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Following training, children from all experimental conditions were presented four new sets of transfer stimuli. They were instructed as follows, ""Here are some new pictures, group them into piles the way you think I would."" Results from Table 1 and show average means and SD of both 6 and 8 year olds in High and Low structure conditions.",NA,NA,NA,NA,NA,NA,NA,NA,NA
