StudyID,Strand,TypeofTest,TypeofTestHighlightedText,StandardisedTest,StandardisedTestHighlightedText,ResearcherDevelopedTest,ResearcherDevelopedTestHighlightedTest,SchoolDevelopedTest,SchoolDevelopedTestHighlightedTest,NationalTestorExam,NationalTestorExamHighlightedTest,InternationalTests,InternationalTestsHighlightedTest
39253392,Summer schools,NA,NA,Standardised maths test (TSLS) Standardised reading test (TSLS),"['Page 12:\n[¬s]"" Math (TSLS) Reading (TSLS)[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40117146,Extending school time,NA,NA,"Cooperative Mathematics Test, Form A  Stanford Achievement Test of Reading and Mathematics","['Page 12:\n[¬s]""Cooperative Mathematics Test, Form A,[¬e]""', 'Page 54:\n[¬s]"" Stanford Achievement Test of Reading and Mathematics[¬e]""']",NA,NA,algebra achievement as measured by a teacher-constructed multiple choice test. ,"['Page 12:\n[¬s]"" algebra achievement as measured by a teacher-constructed multiple choice test. [¬e]""']",NA,NA,NA,NA
38296644,Summer schools,NA,NA,NA,"['Page 14:\n[¬s]"" The New Group reading test was administered online through the GL online testing software.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37092684,Feedback,NA,NA,NA,NA,NA,"['Page 9:\n[¬s]""Simple performance task 1""\n""Simple performance task 2""\n""Learning task[¬e]""']",NA,NA,NA,NA,NA,NA
37093360,Peer Tutoring,NA,NA,Slosson Oral Reading test (SORT) for word recognition,NA,teacher-made comprehension test employing the words from the SORT ,NA,NA,NA,NA,NA,NA,NA
40117357,NA,NA,NA,"Stanford Achievement Test (SESAT II, Primary I, Primary II) pre and post treatment","['Page 6:\n[¬s]"" Stanford Achievement Tests[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37671568,Teaching assistants,NA,NA,NA,"['Page 11:\n[¬s]""The primary outcome was measured (pre- and post-treatment) by the Progress in Reading Assessment (PIRA) test. This is a test that evaluates the general reading ability of pupils. 8 In particular, it assesses reading ability in the following areas: phonics, literal comprehension, and reading for meaning.[¬e]""', 'Page 12:\n[¬s]""The secondary outcomes that have been measured are as follows: 9 • DTWRP (the Diagnostic Test of Word Reading Processes). ""\n""• BPVS (the British Picture Vocabulary Scales, Third edition).""\n""• PSS (the Phoneme Segmentation Subtest) and LK (the letter sound subtest)\x97subtests from the Primary Inventory of Phonological Awareness (PIPA) test.""\n""• LEST (the Letter Sound Test). This tests a person\x92s ability to sound out single letters and letter combinations.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
39253295,Summer schools,NA,NA,NA,"['Page 52:\n[¬s]"" Comprehensive Test o f Basic Skills (CTBS) reading test""\n"" Elementary School Proficiency Assessment (ESPA)[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40117358,NA,NA,NA,"Selection to the programme by the Phonological Awareness Literacy Screening (PALS) (Invernizzi, Meier, Swank, & Juel, 1998): rhyme, beginning sound, alphabet name, letter sound, spelling, preperimer  Wide Range Achievement Test-3 Reading Subtest (WRAT-R)","['Page 6:\n[¬s]""Title I re- ferral process and by the children\x92s summed scored on the Phonological Aware- ness Literacy Screening (PALS) (Invernizzi, Meier, Swank, & Juel, 1998)[¬e]""']",Reading in context: number of words read correctly in a minute,"['Page 10:\n[¬s]""The students read a passage from Little Bear (Minarik, 1978) for 1 min.[¬e]""']",NA,NA,NA,NA,NA,NA
39253296,Summer schools,NA,NA,NA,"['Page 68:\n[¬s]"" the Scholastic Reading Inventory (Scholastic, 1999), the San Diego Grade Word List, and the Oral Reading Assessment o f Fluency (Meiosfc, 2002).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37133945,Peer Tutoring,NA,NA,NA,NA,Curriculum-based measurement (CBM) math probes based on nationally assigned curriculum features were used to identify students for data analyses who performed below average.,"['Page 3:\n[¬s]""CBM probes were used to measure each par- ticipantÕs ßuency level in mathematics by scor- ing the number of digits correctly produced within two minutes. CBM was chosen because of extensive research establishing its psycho- metric properties, as well as its ability to mon- itor progress (Foegen, Jiban, & Deno, 2007; Thurber, Shinn, & Smolkowski, 2004). The probes were administered immediately before and after the intervention to determine the ac- quisition of math facts, as well as 3 weeks after termination of the intervention to assess main- tenance of facts.[¬e]""']",NA,NA,NA,NA,NA,NA
38296647,Extending school time,NA,NA,NA,"['Page 16:\n[¬s]""The total raw score on the Progress in English 12 (PIE 12) GL assessment was the primary outcome measure. This test is a general measure of literacy skill; the exercises included are divided between editing exercises and reading exercises. In the editing tasks pupils are asked to correct errors present in a text including spelling, grammatical and stylistic errors. The reading tasks assess text comprehension and understanding of language in context.""\n"" The total raw score on the Progress in Maths 12 (PIM 12) GL assessment was used as a secondary outcome as the intervention aims to improve numeracy achievement through a core focus on numeracy. This test is split into two sections, calculator and non-calculator, and lasts one hour in total. The questions addressed Levels 3 to 6 of the National Curriculum and covered number, algebra, shape and space, measures, data handling and probability. This test again provided a standardised measure of maths achievement appropriate to the age and curriculum stage of the students involved.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37671570,Teaching assistants,NA,NA,NA,"['Page 13:\n[¬s]""The primary outcome measure was the age-standardised score from the New Group Reading Test (NGRT; Burge et al., 2010)[¬e]""', 'Page 14:\n[¬s]""The PhAB non-word reading test was administered pre- and post-testing.[¬e]""', 'Page 15:\n[¬s]"" It is important, then, to assess ability in the reading of single words. The test chosen for this was the Single Word Reading Test (SWRT6-16; Foster, 2007).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40294926,Feedback,NA,NA,NA,"['Page 5:\n[¬s]"" Macmillan Group Reading Test (Vincent & de la Mare, 1987).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37133947,Peer Tutoring,NA,NA,NA,NA,"Word Recognition Measure retrieved from QRI II (Leslie & Caldwell, 1995) - post intervention test.","['Page 71:\n[¬s]""The word recognition measure was assessed w ith the word recognition section o f the QRI II (Leslie & Caldwell, 1995), a specific form o f an IRI, o r Individual Reading Inventory, which is a criterion-referenced instrum ent that provides diagnostic information about the way the reader reads words. The results o f this word recognition section correlate highly with students’ overall ability in reading.[¬e]""']",Biology Grades from end of year class test were used as a post-intervention measure.,"['Page 73:\n[¬s]""Biology Grades. Biology grades to m easure academic perform ance w ere collected at the end o f the year from stud ents’ biology class and coded by an assistant researcher after the biology teacher put them on the stud ents’ report cards. The low est possible grade was a zero and the highest w as a 100%. [¬e]""']",The State of Virginia exit exam for biology assessing Standards of Learning (SOL) was used post-intervention.,"['Page 72:\n[¬s]""Biology State Test Results. The State o f Virginia exit exam for biology, the SOL (Standards o f Learning) is a state developed criterion referenced test designed to measure student mastery o f the academic content and skills. They specify the skills and content that students at each grade level should learn from a biology course. Results from the spring testing are reported as the num ber o f questions answered correctly. [¬e]""']",NA,NA
37093581,Peer Tutoring,NA,NA,NA,NA,NA,"['Page 4:\n[¬s]""TOAM average scores over all strands were used to evaluate students\x92 mathematics achievement.[¬e]""']",NA,NA,NA,NA,NA,NA
37093579,Peer Tutoring,NA,NA,NA,NA,NA,"['Page 4:\n[¬s]"" The paper-administered test, entitled: Arithmetic Achievement Test (AAT), was developed by the Israeli Ministry of Education (1985)[¬e]""']",NA,NA,NA,NA,NA,NA
37092589,Feedback,NA,NA,NA,"['Page 1:\n[¬s]"" a standardized literacy measure (i.e., the constructed response subtest of the Canadian Achievement Test-4th ed.) and certain metacognitive skills measured via student self-report.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37671572,Teaching assistants,NA,NA,NA,"['Page 7:\n[¬s]""Wordrecogni ti onanddevel opmentalspel l i ngassessments.""\n""developmental spelling test from the Howard Street Training Manual (Morris, 1992)[¬e]""']",NA,NA,NA,NA,NA,"['Page 8:\n[¬s]""Norm-ref erencedachi evementassessmentsandretenti ons. The Met- ropolitan Achievement Test for reading and language arts was administered by dis- trict officials to all students at the end of the second grade.[¬e]""']",NA,NA
37091036,Feedback,NA,NA,NA,"['Page 4:\n[¬s]""A measure of each student\'s reading comprehension was obtained using the Stanford Diagnostic Reading Test Level I, Forms W and X (1968) and the comprehension subtest of the Stanford Diagnostic Reading Test, Level II, Forms W and X (1966).[¬e]""']",NA,"['Page 4:\n[¬s]""Four types of data were used to analyze treatment effects. Measures of oral reading rate correct, oral reading rate incorrect, vocabulary meaning, and comprehension were obtained for all students both prior to and following treatment. The first three measures were derived from stories randomly selected from Levels lb, lib, and Illb of the Power Builder Kits (SRA, 1963, 1969).""\n"" Daily measures of oral reading correct and incorrect and vocabulary meaning in the SRA Power Builder Stories also were obtained for students in the daily measurement and data decision rule groups (N = 26).[¬e]""']",NA,NA,NA,NA,NA,NA
40117150,Extending school time,NA,NA,"Stanford Achievement Test (Version 9, the California STAR test)","['Page 14:\n[¬s]"" The Stanford Achievement Test, Version 9 or SAT-9 (the California STAR test),[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40117264,Extending school time,NA,NA,NA,NA,NA,NA,Grades (Student report card records from school): before and after treatment,NA,NA,NA,NA,NA
40117289,Extending school time,NA,NA,Gate-MacGinitie Reading tests - Level D - Form 2 was administered for vocabulary and comprehension. ,"['Page 7:\n[¬s]"" Gat11-JlacGinitit Rlading Teat• - Level D - Porm 2 was adllinistered tor vocabulary and comprehension[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
43090186,NA,NA,NA,NA,"['Page 3:\n[¬s]"" Gate \x7f -llaoGinitie Reading Teat\x95[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37061123,Feedback,NA,NA,NA,"['Page 2:\n[¬s]""Metropolitan Spelling Achievement Test, Form R[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40294931,Feedback,NA,NA,NA,NA,NA,"['Page 5:\n[¬s]""On the Monday following the 4-wk. experimental period, a post-test was given to both groups. It was composed of 50 words selected randomly from the programmed units.[¬e]""']",NA,NA,NA,NA,NA,NA
40294930,Peer Tutoring,NA,NA,NA,"['Page 67:\n[¬s]""reading achievement was measured at Time 1 and Time 3 in a pre-/posttest fashion using the Comprehensive Reading Assessment Battery (CRAB) (Fuchs, Fuchs, & Maxwell, 1988)[¬e]""', 'Page 69:\n[¬s]""Stanford Achievement Test - Reading Comprehension Subtest (Fuchs et al., 1988).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40117359,NA,NA,NA,"See p.139 and 140 for full explanation. Summarised below: * word recognition from Basic Reading Vocabularies (HAriis & Jacobson, 1982) * Spelling from the Qualitative Inventory of Word Knowledge (Schlagal, 1989) * Basal passage reading accuracy from the school basal reader (Ginn, 1983)",NA,"The Basal passage reading accuracy from the school basal reader (Ginn, 1983) has also been listed under standardised tests, but a special scoring system was devised for this task. See p.140",NA,NA,NA,NA,NA,NA,NA
40117214,Extending school time,NA,NA,NA,"['Page 3:\n[¬s]"" Individual resilience/cooperation and self-control""\n""The individual protective factor index (IPFI; Springer & Phillips, 1995)""\n""The self description questionnaire (SDQ; Marsh & Smith, 1987) was used to assess academic self-concept""\n""To assess students\' social problem-solving approach, the children\'s action tendency scale (Deluty, 1979) was administered.""\n""To measure school bonding, the psychological sense of school membership scale (PSSM) was used (Goode- now, 1993)""\n""Student and teacher perceptions of student partici- pation in the classroom were measured.[¬e]""', 'Page 4:\n[¬s]"" by completing a classroom readi- ness survey (Berndt & Keefe, 1995)""\n""Questions regarding student perceptions of the extent to which parents supervised their activities at home were taken from the National Educational Longitudinal Study Survey (NCES, 1988)""\n""Teacher perceptions of student problem behavior was derived from the acting-out scale from the tea- cher- child rating scale (TCRS; Hightower et al., 1986).[¬e]""']",NA,NA,NA,"['Page 4:\n[¬s]""Student academic performance was conceptualized as student grades in math, which was calculated for each student by examining report cards for their cur- rent academic year.[¬e]""']",NA,NA,NA,NA
37671607,Teaching assistants,NA,NA,NA,"['Page 6:\n[¬s]""a standardized mathematics test used for measuring progress in the whole of the project evaluation""\n""The test used was originally designed by the University of Leeds for the evaluation of the National Numeracy Project, and covers all elements of the English National Curriculum in mathematics.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37116214,Peer Tutoring,NA,NA,NA,NA,NA,"['Page 4:\n[¬s]""Achievement test in Physics prepared and validated by the investigator[¬e]""']",NA,NA,NA,NA,NA,NA
37092701,Feedback,NA,NA,NA,"['Page 5:\n[¬s]""The Original series of the Porteus Maze Test was administered as a pretest, and the Extension series of the Porteus Maze Test was administered as apostte[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37671575,Teaching assistants,NA,NA,NA,"['Page 13:\n[¬s]""Peabody Picture Vocabulary Test\x96IIIA (PPVT; Dunn & Dunn, 2006).[¬e]""', 'Page 14:\n[¬s]"" Test of Preschool Early Literacy (TOPEL; Lonigan, Wagner, & Torgesen, 2007) Print Knowledge subtest""\n""Sections B and C from the TOPEL Print Knowledge subtest""\n""TOPEL Phonological Awareness subtest[¬e]""', 'Page 15:\n[¬s]""OPEL De\x1enitional Vocabulary subtest[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40117215,NA,NA,NA,NA,"['Page 3:\n[¬s]""The Nowicki-Strickland Locus of Control instrument is designed to assess the degree to which children connect their actions to the outcomes which result from them (Nowicki & Strickland, 1973)[¬e]""']",NA,"['Page 3:\n[¬s]""Classroom teacher observations were used to evaluate student attitude toward school.""\n"" Observations were recorded in a note\xad book and qualitatively analyzed[¬e]""']",NA,"['Page 3:\n[¬s]""Grades for participating students were av\xad eraged for two semesters to measure aca\xad demic achievement.[¬e]""']",NA,NA,NA,NA
37133954,Peer Tutoring,NA,NA,NA,NA,NA,"['Page 52:\n[¬s]""The Test of Achievement and Proficiency, Level 15, Form T, Test 2: Mathematics,[¬e]""']",NA,NA,NA,NA,NA,NA
38296657,Teaching assistants,NA,NA,NA,"['Page 7:\n[¬s]""the Quantitative Reasoning Test,[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37093585,Peer Tutoring,NA,NA,NA,"['Page 2:\n[¬s]""the Metropolitan Achievement Test[¬e]""', 'Page 3:\n[¬s]""M A T subtests of Word Knowledge and Comprehension [¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37092590,Feedback,NA,NA,NA,NA,NA,"['Page 4:\n[¬s]""Data collection. Data consisted of the rough drafts of lesson 6, collected and copied before and after the formal revising session and the final drafts of the same lesson. Those drafts were used in the analysis of revision behav\xad ior and writing quality. [¬e]""', 'Page 5:\n[¬s]""Quality of writing. The scale used in this study to ana\xad lyze writing quality was an adaptation of Cooper’s (1977) Personal Narrative Writing Scale.[¬e]""', 'Page 5:\n[¬s]""Revision behavior. The revision category system in this study was adapted from a system used by Bridwell (1980). That system considered the syntactic levels of revision behavior affecting content of text: • Single-word level (“Run” is changed to “race.”) • Multiple-word level (“In front of my house” is de\xad leted from a sentence.) • Sentence level (“I loved my horse very much” is ad\xad ded to a paragraph.) • Multiple-sentence level (“Grandma and Grandpa were waiting for us when we arrived. They had supper ready and our beds all made. Boy were we glad to see them” are rearranged from the beginning of the story to a spot near the middle.) That system also considered types of revision behav\xad ior—mechanics, spelling, additions, deletions, substitu\xad tions, and rearrangements (referred to as an “order shift” by Bridwell, 1980)[¬e]""']",NA,NA,NA,NA,NA,NA
37092703,Feedback,NA,NA,NA,NA,NA,"['Page 4:\n[¬s]""Achievement Skill Test This test contains 45 items and covers addition, subtraction, division, multiplication of decimals, rounding of decimals, and changing fractions to percentages. It was designed by the investi\xad gator to measure the amount of instructional material that was learned during this experiment, and was used as the criterion measure for both immediate and delayed retention.[¬e]""']",NA,NA,NA,NA,NA,NA
37092704,Feedback,NA,NA,NA,NA,NA,"['Page 4:\n[¬s]""n. Piagetian criterion tasks adapted from those used by Le- febvre and Pinard (1972) were employed in this study. The same tasks have also been successfully used by Charbonneau, Robert, Bourassa, and Gladu- Bissonnette, (1976) in measuring the attainment of conservation by white French-speaking children through observation of a model performing the tasks.""\n""ity. Two comparable tests, each consisting of four tasks on substance and four tasks on volume, were constructed for the pretest and posttest respectively. The two parallel forms were critically reviewed and validated by a panel of experts drawn from the academic staff of the Faculty of Education of the Universi""\n"" Piaget. The approved four in each test con- sisted of two tasks on quantity and two on substance, and both forms were rated equivale[¬e]""']",NA,NA,NA,NA,NA,NA
39253393,Summer schools,NA,NA,NA,"['Page 64:\n[¬s]""CAT 6/TerraNova second edition for seventh grade students""\n""Gates MacGinitie Reading assessment[¬e]""']",NA,NA,NA,NA,NA,"['Page 64:\n[¬s]""the eighth grade Alaska Benchmark Examinations[¬e]""', 'Page 66:\n[¬s]""CTB/McGraw Hill developed the benchmark exams for the state o f Alaska for Grades 3, 6, and 8 and the Alaska High School Graduation Qualifying Exam.[¬e]""']",NA,NA
40294937,Peer Tutoring,NA,NA,NA,"['Page 60:\n[¬s]"" one standardized reading achievement test (Woodcock-Johnson Reading Test Subtests #13, #14 and #15), one standardized self-attitude test (Student Perceptions of Ability Scale), and three measures of attitude toward school or classmates (Student Attitudes Questionnaire, Attitudes About School, and the Who\'s On Your Team Test).[¬e]""']",NA,"['Page 60:\n[¬s]""Observation data were collected by an assistant researcher on a daily basis throughout the study for purposes of treatment verification.[¬e]""']",NA,NA,NA,NA,NA,NA
40117154,Extending school time,NA,NA,NA,NA,NA,NA,NA,NA,Texas Learning Index scores (TLI) as collected from the Texas Assessment of Academic Skills,"['Page 18:\n[¬s]""Texas Assessment o f A cadem ic Skills (TAAS): A state-mandated test m easuring a range o f skills, from basic knowledge to the use o f higher-order thinking and[¬e]""', 'Page 19:\n[¬s]""problem-solving skills in grades 3 ,4 , and 5 (elementary). Skills tested by the TAAS represent curricula in schools across the state o f Texas in the subject areas o f reading, mathematics, and writing (grade 4). T exas Learning Index (T LD : The mean value o f comparable improvement in reading and m athem atics on the Texas Assessment o f Academic Skills (TAAS) test.[¬e]""']",NA,NA
37133956,Peer Tutoring,NA,NA,NA,NA,6+1 Trait writing assessment model used to grade essays by treatment and non-treatment groups in February and May (pretest and posttest).  Knudson Writing Attitude Surveys were also used pretest and posttest.,"['Page 14:\n[¬s]""Pretest and posttest writing prompts were used and evaluated by three trained raters using the 6+1 traits writing assessment rubric as the outcome measure.[¬e]""', 'Page 70:\n[¬s]""All students from the treatment and non-treatment groups wrote essays to writing prompts in February and again in May. Each essay was graded by three raters using the 6+1 Trait writing assessment model developed by the Northwest Regional Educational Laboratory, Portland, Oregon (Spandel and Stiggins, 1990). Raters o f student papers, according to the rubric, were assigned a numerical value from 1 (lowest score) to 5 (highest score) for each o f six traits including ideas, organization, voice, word choice, sentence fluency and conventions. The scores o f all three raters were then averaged in order to determine a fined score for each student.[¬e]""']",NA,NA,NA,NA,NA,NA
37092591,Peer Tutoring,NA,NA,NA,"['Page 4:\n[¬s]""Students wrote essays to writing prompts in February and in May. Each essay was graded by three raters using the 6+1 traits writing assessment model (Culham, D""\n""7[¬e]""', 'Page 5:\n[¬s]"" 2003; Spandel, 2000; Spandel & Culham, 1997; Spandel & Stiggens, 1990). [¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40294939,Peer Tutoring,NA,NA,NA,"['Page 2:\n[¬s]"" 6+1 traits writing assessment rubric.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37133957,Peer Tutoring,NA,NA,NA,NA,"The Orleans-Hanna Algebra Prognosis Test was used to collect data for the pretest, posttest and post-posttest of the subjects (the control group did not complete both posttest and post-posttest but tutees and tutors did). ","['Page 68:\n[¬s]""Developed by Joseph B. Orleans and Gerald S. Hanna for the Psychological Corporation, this test is used to predict how well a student can learn algebra. The authors identify three factors that the test measures, which they believe are crucial to the study of algebra. These are aptitude, previous achievement, and interest and motivation.[¬e]""']",NA,NA,NA,NA,NA,NA
39253299,Summer schools,NA,NA,"Study 2: Basic Reading Inventory (BRI, Johns 1997)  Study 2: 3 data points, pretest, posttest and follow-up in 12 months  Study 2: Gts-MacGinitie Reading Test (GMRT): Level PRE and R with their four subtests each","['Page 6:\n[¬s]"" Basic Read ing Invento ry (BRI; Johns, 1997)[¬e]""', 'Page 7:\n[¬s]""G t s -Ma c Ginitie Reading Te st GMR T). The GM RT is a g roup\xad adrn iniste red, no rm-re fe renced , re ading test. The lo west leve l is PRE and it inc ludes fou r subtests: Lite racy Con cepts, Read ing Instruction Re l tion al Conc epts, Ora l Languag e Concepts (Lingu istic A wa reness), and Lette rs and Lette r-Sound Correspondences.[¬e]""', 'Page 8:\n[¬s]"" Leve l R also inc ludes four subtests: Let\xad ter-Sound Co rrespondences (Init ia l Consonants and Consonant Clusters ), Letter-Sound Co rrespondences (Fina l Consonants and Consonant Ous\xad ters), Lette r-Sound Correspondences (Vo we ls), and Use of Sentenc e Con \xad te xt.[¬e]""']","Study 1: Informal reading inventory (IRI: graded word lists) adapted from the Qualitative Reading Inventory II (QRI; Leslie & Caldwell, 1995); 2 data points, at the beginning and end of summer school   Study 2: Literacy Habits Interview (Daily reading and writing habits)  Study 2: Students' Opinions About Reading (SOAR) using a Likert-type response scale.","['Page 5:\n[¬s]"" in forma l re ading invento ry (IRI) adapted fo r our resea rch pu r\xad poses. All ch ild ren in th e study were init ia lly g iven the graded word lists from the Qualitative Reading Inventory II (QRI; Leslie & Caldwell, 1995)[¬e]""', 'Page 5:\n[¬s]""The eva lu ation o f the su mme r read ing p rogra ms was p lanned in thre e phases: p retest data co llect ion in spring of 1999, posttest data co llect ion in the fa ll o f 1999, and follo w -up testing in spring o f 2000.[¬e]""', 'Page 6:\n[¬s]"" da ily re ading and writ ing hab its with a survey entit led "" Lit eracy Hab its,"" and we sur\xad veyed Students\' Op in ions About Read ing (SOA R) us ing a Like rt-typ e re\xad sponse scale.[¬e]""', 'Page 8:\n[¬s]""Literac y Habit[¬e]""', 'Page 8:\n[¬s]""Students\' Opinion s About Reading (S OAR).[¬e]""']",NA,NA,"Study 1: Michigan Literacy Progress Profile (MLPP): phonemic awareness and concepts of print (for those children who were unable to read at least 14 words on the preprimer list).  Study 2: MLPP, 2nd version: Concepts of Print, Sight Word and Decodable Word List, Phonemic Awareness, Oral Reading and Miscue Analysis","['Page 7:\n[¬s]""MLPP""\n""Concepts of P rin""\n""Sight Word and Decodable Word List""\n""Phonemi Awareness.""\n""Oral Reading and Mi scue Analyses.[¬e]""']",NA,NA
38296659,Teaching assistants,NA,NA,NA,"['Page 5:\n[¬s]"" Hodder Group Reading Test 2A.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37061141,Feedback,NA,NA,NA,NA,NA,"['Page 2:\n[¬s]""or this text 36 multiple-choice questions were constructed: 12 fact ques\xad tions requiring the recall of factual information, 12 inference questions requiring subjects to make inferences from the literal message contained in the text, and 12 guess questions which were related to text contents but could not be answered on the basis of the information derived from the text (Example: ""How old do you think the owner of the camping site was?”)[¬e]""']",NA,NA,NA,NA,NA,NA
37061139,Feedback,NA,NA,NA,NA,NA,"['Page 3:\n[¬s]"" For this text, two sets of 13 multiple-choice questions (4 alternatives) were constructed. [¬e]""']",NA,NA,NA,NA,NA,NA
40294942,Feedback,NA,NA,NA,NA,NA,"['Page 3:\n[¬s]""For this text, two sets of 13 multiple-choice questions (4 alternatives) were constructed. One set (factual questions) required the recall of specific factual infor- mation. The other set (guess questions) consisted of questions which dealt with elements from the story, but could not be answered on the basis of information derived from the text;[¬e]""']",NA,NA,NA,NA,NA,NA
37092708,Feedback,NA,NA,NA,NA,NA,"['Page 3:\n[¬s]""A posttest on the transfer word list immediately followed the test trial on the experimental words. All subjects read each transfer trigram once and no feedback was given.[¬e]""']",NA,NA,NA,NA,NA,NA
40294947,Small Group Tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093590,Peer Tutoring,NA,NA,NA,NA,Researcher-developed pre-test and post-test,"['Page 3:\n[¬s]""Pretests Math Spatial Peer training Math Spatial Posttests Math Spatial""\n""For Year 1, materials were developed for a mathematics and a spatial reasoning series, ""\n""Two sessions""\n"" problems that required rote learning or copying models, ""\n"" four sessions were devoted to tasks that required formal reasoning""\n""During the development of these ma- terials, a sample of 10 fourth graders provided feedback on their adequacy. On the basis of this experience, some tasks were discarded or revised, and the pretests and posttests were shortened.""\n""Mathematics tasks.""\n""Spatial reasoning task[¬e]""']",NA,NA,NA,NA,NA,NA
37092592,Feedback,NA,NA,NA,NA,NA,"['Page 124:\n[¬s]""Stage 4 At this stage, students were asked to revise the papers written at pretest. The first group of research assistants returned to the classrooms and asked the students to revise the papers they had written on the first and second days of the study. The students were given 40 minutes to complete their revisions and rewrite their papers[¬e]""', 'Page 127:\n[¬s]""At pretest, posttest, delayed transfer task, and maintenance task, students responded to persuasive prompts. There were four persuasive prompts.[¬e]""']",NA,NA,NA,NA,NA,NA
38878269,Small Group Tuition,NA,NA,NA,"['Page 12:\n[¬s]""Dictation tests 1 ,2, and 3. First graders were administered two forms of a dictation task (see Clay, 1985). In October, when subjects were in second grade, they were administered a third dictation task constructed by DeFord (DeFord, Pinnell, Lyons, & Place, 1990). In all dictation tasks, administrators read the sentences and ask the children to write the words. Children are given credit for every sound represented accurately.[¬e]""', 'Page 13:\n[¬s]""Mason Early Reading Test. The Early Reading Test, devised by Mason (see Mason, 1984; Mason & McCormick, 1984) is an individually administered test of concepts related to emergent literacy""\n""Woodcock Reading Mastery Test-Revised (1987). The Woodcock Reading Mastery Test is an individually administered comprehensive battery of tests measuring aspects of reading ability such as visual/auditory learn\xad ing, letter identification, word attack, word identification, word comprehension, and passage comprehension.""\n""Gates-MacGinitie (1978). The Gates-MacGinitie Reading Test is a group-administered, comprehensive, standardized test of skills and knowledge related to read\xad ing. The test covers vocabulary and comprehension exercises.[¬e]""']",NA,"['Page 13:\n[¬s]""Text reading level. Measures of text reading level were obtained by constructing a gradient of difficulty for texts drawn originally from a basal reading series (see Scott, Foresman & Co., 1979). The scale was constructed by selecting and then testing difficulty levels with groups of children over time (see Peterson, 1991; Pinnell, Deford, & Lyons, 1988). There are 26 levels in all, the highest level indicating approximately sixth-grade level according to the published basal system. The texts used for this testing procedure are not used for instruction; children are asked to read them without previous review of the text, moving progressively up the levels of diffi\xad culty. The texts vary in length from approximately 50 to 500 words. Individually, children are asked to read selec\xad tions while the tester records reading behavior using Clay\'s running record technique (Clay, 1985) and calcu\xad lates an accuracy level. Children continue reading higher levels of text until they score below 90%,accuracy on two successive levels of text. The test yields a difficulty score (the highest level read above 9()0/4accuracy).[¬e]""']",NA,NA,NA,NA,NA,NA
40117157,Extending school time,NA,NA,Fourth-graders: - School and College Ability Test (SCAT) to measure aptitude  - Sequential Test of Educational Progress (STEP) to measure achievement  First-graders pre-test: Metropolitan Readiness TEST (MRT): - word meaning - listening - matching - alphabet - numbers - copying,NA,NA,NA,NA,NA,Fourth-graders: SRA Assessment Survey Edition of the Iowa Tests of Education Development (ITED) for measuring achievement,NA,NA,NA
37092593,Feedback,NA,NA,NA,NA,NA,NA,Students provided a writing sample as pre-test measure. Writing composition was tested throughout the study through the assessment of student essays using the typical scoring rubric teachers used in conventional composition instruction. ,"['Page 5:\n[¬s]""A writing sample was collected from all subjects in the study to be used as a pretest. Students were asked to do personal writing on the topic ""An Interesting Trip"".[¬e]""']",NA,NA,NA,NA
40117291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Page 72:\n[¬s]"" Spring 2000 Stanford Achievement Test, Ninth Edition (SAT-9), for both reading and mathematics.[¬e]""']",NA,NA
