id,pub_author,pub_year,abstract,smd_tool,se_tool
38296667,Rutt (2015),2015,"Catch Up Literacy is a structured one-to-one literacy intervention for pupils between the ages of 6 and 14 who are struggling to learn to read. It teaches pupils to blend phonemes (combine letter sounds into words), segment phonemes (separate words into letter sounds), and memorise particular words so they can be understood without needing to use phonics strategies to decode them. The intervention matches books to pupils according to their reading ability, which pupils then read to a teaching assistant (TA), so is intended to also support the development of their comprehension skills. In this evaluation, the intervention was delivered through two 15-minute sessions per week over 30 weeks at the transition from primary to secondary school, with a break for the summer holidays. Pupils were identified by their Year 6 teachers in their feeder primary schools as being struggling readers who were predicted to achieve below level 4b in reading. Each secondary school employed two part-time TAs to deliver the intervention in the last few weeks of Year 6 and after the pupils transitioned to secondary school. The TAs delivering Catch Up Literacy were supplied with detailed session plans and received three half-day training sessions led by Catch Up. The study was funded by the Education Endowment Foundation as one of 23 projects focused on literacy catch-up at the primary—secondary transition.",0.12,0.0689
43099855,Ryder (2008),2008,"The aim of this study was to determine whether explicit instruction in phonemic awareness and phonemically based decoding skills would be an effective intervention strategy for children with early reading difficulties in a whole language instructional environment. Twenty-four 6- and 7-year-old struggling readers were randomly assigned to an intervention or control group, with the intervention group being divided into four groups of three children each. The intervention program was carried out over a period of 24 weeks and comprised 56 highly sequenced, semi-scripted lessons in phonemic awareness and alphabetic coding skills delivered by a teacher aide who received training and ongoing support from a remedial reading specialist. Posttests results showed that the intervention group significantly outperformed the control group on measures of phonemic awareness, pseudoword decoding, context free word recognition, and reading comprehension. Two-year follow-up data indicated that the positive effects of the intervention program were not only maintained but had generalized to word recognition accuracy in connected text.",1.0645,0.4415
43099897,Savage (2003),2003,"This paper evaluates three word-level teaching programmes delivered by trained Learning Support Assistants (LSAs) for Year 1 children ‘at risk’ of reading difficulties. Rime-based, phoneme-based, and ‘mixed’ (rime and phoneme-based) interventions were contrasted with controls receiving only the National Literacy Strategy. Phonological onset-rime and phoneme manipulation, spelling, and word and non-word reading were measured before and after the nine-week intervention. High rime neighbourhood (HRn) non-words (e.g. ‘dat’ – with many real word rime neighbours) and low rime neighbourhood (LRn) non-words (e.g. ‘tav’ with few real word neighbours) were used to evaluate onset-rime- or grapheme-phoneme-based decoding strategies. Results showed greater phonological onset-rime skills, lettersound knowledge and non-word reading skills in all LSA-taught intervention groups. There was no difference between the HRn and LRn non-words. The only reliable difference between the intervention groups was an advantage in phoneme blending for the rime-taught group. It was concluded that LSAs can enhance literacy development for 6-year-old poor readers. There appears to be no simple association between rime- or phoneme-based teaching intervention and changes in the size of unit used by children following interventions.",0.3572,0.2279
38296671,See (2018),2018,"Maths Counts aims to raise the attainment of children who struggle with basic mathematics at Key Stage 2. The intervention was developed by The Mead Community Primary School drawing on the principles of the Numbers Count programme developed by Every Child Counts at Edge Hill University. Maths Counts lessons last 30 minutes and take place at least three times a week for a minimum of ten weeks. Schools have access to an online tool that stores information about pupils’ progress, supports the planning of lesson objectives, and suggests activities and resources for each lesson. The first ten minutes of Maths Counts lessons focus on recall and reinforcement of prior learning, and the following 20 minutes introduce new knowledge and skills. The online tool suggests activities and resources to use, such as throwing and catching a soft football in order to count in sequenced steps or using coins to develop an understanding of money. In this project, schools selected pupils in Years 3 to 6 to participate in the intervention, prioritising pupils at risk of not achieving nationally expected levels, younger pupils, and pupils eligible for the Pupil Premium. The intervention was delivered on a one-to-one basis by teaching assistants. Schools were able to approach the timetabling of the intervention flexibly, so some lessons were scheduled during maths lessons while some took place elsewhere in the school day. Teaching assistants were supported by their schools’ maths leads (the school’s maths co-ordinator or specialist teacher). Support for delivery of the intervention was provided by the Mead Academy Trust project team. Before the intervention started, the project team provided two days of training for both maths leads and teaching assistants. The maths leads then delivered four further training sessions throughout the intervention to the teaching assistants in their school. After an initial development phase where the project team developed a website and the online tool, Maths Counts was evaluated by Durham University using a randomised controlled trial involving 291 pupils across 35 schools. Each school identified eight eligible pupils, four of whom were randomised to receive the intervention while the other four formed the ‘business as usual’ comparison group. The trial tested the impact of Maths Counts on maths attainment measured using the General Maths component of the CEM InCAS assessment. The implementation and process evaluation consisted of observations and interviews. School recruitment began in early 2016 and the project ended when pupils were tested in April 2017.",0.205,0.1176
38296672,Sheard (2015),2015,"Units of Sound (UofS) is a computer-based programme designed to help struggling readers with their reading and spelling skills. It is a structured, multisensory programme that covers reading and spelling from simple phonics skills through to adult reading levels. It involves a high level of independent work by the student, with small groups of students supervised by a teacher or teaching assistant. Each ‘unit of sound’ (or phonic code) is introduced separately, then used in words, and then sentences. This evaluation assessed the reading ability of 786 Year 7 students in 45 schools. Students were randomly assigned within the schools to receive the intervention if they had scored below Level 4 on their Key Stage 2 SATs. The evaluation was funded by the Education Endowment Foundation as one of 23 projects focused on literacy catch-up at the primary-secondary transition for students who did not achieve Level 4 in English by the end of Key Stage 2. Two staff members in each school were identified to implement the interventions with groups of approximately five Year 7 students at a time. The designated teachers/teaching assistants in the participating schools undertook the 10-hour initial online training in UofS. Of the 45 schools that took part in the study, 31 had four sessions of additional face-to-face training and support from Dyslexia Action (DA) coaches and 14 had only online distance training and support instead of face-to-face support. Students spent one 60-minute session with the teaching assistant present and a further 30-minute session on another day working independently on the material covered with the teaching assistant. Schools varied in how they allocated the time. The intervention lasted for 18 weeks. Students were evaluated at baseline on the New Group Reading Test (NGRT) and then at follow-up on the NGRT and the Single Word Spelling Test (SWST). A light-touch process evaluation was conducted to determine teaching assistants’ and students’ perceptions of the programme. This included surveys of teaching staff and students and interviews with the DA coaches.",-0.08,0.097
37671585,Sibieta (2016),2016,"The Nuffield Early Language Intervention is designed to improve the spoken language ability of children during the transition from nursery to primary school. It is targeted at children with relatively poor spoken language skills. Three sessions per week are delivered to groups of two to four children starting in the final term of nursery and continuing in the first two terms of reception in primary school. Children in primary school also attend an additional two 15-minute individual sessions per week. All sessions focus on listening, narrative and vocabulary skills. Work on phonological awareness is introduced in the final ten weeks. The intervention was developed by researchers from the University of York with funding from the Nuffield Foundation. The communications charity I CAN was enlisted to train teaching assistants and nursery staff to deliver the programme. This report evaluates the I CAN-led model for the 30-week programme described above and also a shorter 20-week version delivered only in reception year. The impact of these two programmes on the language skills of 350 children in 34 schools was tested using a randomised controlled trial design. Schools with attached nursery schools or nursery classes in Yorkshire and the South East were recruited to the trial in 2013. Children identified as having relatively low language skills were randomly allocated to the 30-week programme, the 20-week programme or standard provision. The qualitative fieldwork carried out as part of the project involved interviews with a total of 12 staff in 8 of the 34 participating schools. Key conclusions include  (1) The Nuffield Early Language Intervention had a positive impact on the language skills of children in the trial. This is true for both the more expensive, 30-week version, starting in nursery, and the 20-week version, delivered only in school  (2) Children receiving the 30-week version experienced the equivalent of about four months of additional progress, compared with about 2 months additional progress for the 20-week version. Both results are unlikely to have occurred by chance, though results for the 30-week version are more secure  (3) The evaluation did not provide reliable evidence that either version of the programme had a positive impact on children's word-level literacy skills  (4) Teaching assistants delivering the programme reported that they found it difficult to devote enough time to it, and that support from senior staff was required to protect the programme time  and (5) Staff in participating schools reported that the programme had a positive impact on children's language skills and confidence. They thought that the factors which contributed to this included the small-group format, the activities covered, and the focus on narrative and vocabulary work. ",0.27,0.1
38296673,Sibieta (2016),2016,"REACH is a targeted reading support programme designed to improve reading accuracy and comprehension in pupils with reading difficulties in Years 7 and 8. It is based on research by the Centre for Reading and Language at York and is delivered by specially trained teaching assistants (TAs). This evaluation tested two REACH interventions, one based directly on the original ‘Reading Intervention’ developed by York, and one adapted from it with supplementary material on language comprehension. In both versions, pupils received three one to one 35 minute sessions each week for 20 weeks. Pupils were taken out of other lessons (typically not English lessons) for the sessions and so this evaluation assesses the effect of the interventions combined with more time focused on literacy, compared with standard provision. The impact of the interventions on the reading skills of 287 pupils in 27 schools was tested using a randomised controlled trial. Schools in areas close to Leeds were recruited to the trial in 2013. Pupils identified as having relatively poor reading skills were randomly allocated to the original REACH reading intervention, the language comprehension version, or standard provision. In response to slow initial recruitment, the trial was implemented in two phases. A process evaluation was carried out involving a survey of teaching assistants and interviews with staff from participating schools.",0.33,0.0969
37671586,Styles (2015),2015,"This NFER report has been produced for the Education Endowment Foundation and its evaluation of a speaking and listening intervention combining two programmes  the Vocabulary Enrichment Intervention Programme (VEIP) and the narrative Intervention Programme (NIP). The intervention was used with pupils who needed extra support to improve their literacy (either not having reached Level 4 at Key Stage 2 or considered ""vulnerable"" Level 4 readers). The aim was to enhance pupils' literacy by improving their vocabulary and narrative skills. Five Teaching Assistants (TAs) and one teacher in three secondary schools received training on the VEIP, the NIP and speech, language and communication difficulties. They delivered the VEIP to 118 Year 7 pupils in small groups (three to eight pupils) between September, 2013, and December, 2013, and the NIP between January, 2014, and March, 2014. The programme was evaluated using a randomised controlled trial which compared the intervention to a ""business-as-usual"" control group. The delivery and evaluation of this project was funded by the Education Endowment Foundation as one of 23 projects focused on literacy catch-up at the transition from primary to secondary school. It was one of four projects funded with a particular focus on reading comprehension. Key Findings  (1) The speaking and listening intervention had a moderate impact on overall reading ability but this was not statistically significant (although was on the border of being so)  (2) The intervention had a significant impact on pupils' ability in passage comprehension  an effect size of 0.25, equivalent to approximately 3 months of additional progress compared to control pupils  and (3) The intervention had no significant impact on pupils' ability to complete written sentences or accurately recall spoken sentences. The following are appended  (1) Model Results  (2) Padlock Rating  (3) Parental Consent Letter  (4) Example SPSS Randomisation Syntax  and (5) Cost Rating. This NFER report has been produced for the Education Endowment Foundation and its evaluation of a speaking and listening intervention combining two programmes  the Vocabulary Enrichment Intervention Programme (VEIP) and the narrative Intervention Programme (NIP). The intervention was used with pupils who needed extra support to improve their literacy (either not having reached Level 4 at Key Stage 2 or considered ""vulnerable"" Level 4 readers). The aim was to enhance pupils' literacy by improving their vocabulary and narrative skills. Five Teaching Assistants (TAs) and one teacher in three secondary schools received training on the VEIP, the NIP and speech, language and communication difficulties. They delivered the VEIP to 118 Year 7 pupils in small groups (three to eight pupils) between September, 2013, and December, 2013, and the NIP between January, 2014, and March, 2014. The programme was evaluated using a randomised controlled trial which compared the intervention to a ""business-as-usual"" control group. The delivery and evaluation of this project was funded by the Education Endowment Foundation as one of 23 projects focused on literacy catch-up at the transition from primary to secondary school. It was one of four projects funded with a particular focus on reading comprehension. Key Findings  (1) The speaking and listening intervention had a moderate impact on overall reading ability but this was not statistically significant (although was on the border of being so)  (2) The intervention had a significant impact on pupils' ability in passage comprehension  an effect size of 0.25, equivalent to approximately 3 months of additional progress compared to control pupils  and (3) The intervention had no significant impact on pupils' ability to complete written sentences or accurately recall spoken sentences. The following are appended  (1) Model Results  (2) Padlock Rating  (3) Parental Consent Letter  (4) Example SPSS Randomisation Syntax  and (5) Cost Rating.",0.2,0.11
37671517,Swain (2010),2010,"Reading Intervention (Hatcher etal, 1994) has been in widespread use in the Local Authority where I am employed (Local Authority A) since 1994. Both teachers and teaching assistants now deliver this individualised, one-to-one programme to children with significant iteracy delays. Following concerns raised by some practitioners, the present thesis evaluates this aspect of implementation of the Reading Intervention programme. An initial study explored the views of this group of practitioners in more detail. Outcomes of this provided focuss and structure for the remainder evaluation. Two further studies are reported. The first compared immediate, quantitative programme outcomes for children who received Reading Intervention delivered by teachers vs. teaching assistants in the circumstances of eveyday practice. No significant differences were evident between the outcomes achieved by these two groups. The second study used a questionnaire to evaluate the perceptions of teachers and teachng assistants regarding the processes used to implement the Reading Intervention programme. This study served to highlight possible developments to the processes used to secure programme implementation, although in the majority of areas considered, the perceptions of teachers and teaching assistants did not differ. Implications of the study for the future delivery of the reading Intervention programme in are considered, alonside possible implications for teaching assistants and the role of educational psychologists.",-0.0296,0.1048
43099931,Vadasy (2005),2005,"In this quasi-experimental study, which is part of a series of investigations on supplemental reading tutoring variations, the relative effectiveness of more intense decoding instruction or text reading practice was examined. Fifty-seven first-grade students scoring in the lowest quartile for reading skills received either classroom reading instruction or one of two treatments  tutoring in word study with text reading practice, or word study tutoring alone. Individual instruction was provided by trained paraprofessional tutors. At the end of first grade, treatment students significantly outperformed their nontutored peers on measures of reading accuracy, reading comprehension, reading efficiency, passage reading fluency, and spelling. Differential treatment effects on passage reading fluency are examined, taking into consideration pretest skill levels and text reading practice characteristics.",0.8129,0.3391
37671592,Vadasy (2006),2006,"The purpose of this study was to evaluate the effectiveness of code-oriented supplemental instruction for kindergarten students at risk for reading difficulties. Paraeducators were trained to provide 18 weeks of explicit instruction in phonemic skills and the alphabetic code. Students identified by their teachers meeting study eligibility criteria were randomly assigned to 2 groups  individual supplemental instruction and control. Students were pretested in December, midtested, and posttested in May-June of kindergarten. At posttest, treatment students significantly outperformed controls on measures of reading accuracy, reading efficiency, oral reading fluency, and developmental spelling. Treatment students had significantly higher linear growth rates in phonemic awareness and alphabetic knowledge during the kindergarten treatment. At a 1-year follow-up, significant group differences remained in reading accuracy and efficiency. Ethical challenges of longitudinal intervention research are discussed. Findings have policy implications for making supplemental instruction in critical early reading skills available. ",0.9523,0.2585
37671636,Vadasy (2007),2007,"A total of 46 children in Grades 2 and 3 with low word-level skills were randomly assigned to 1 of 2 groups that received supplemental phonics-based reading instruction. One group received intervention October through March (21.5 hours), and one group served as a control from October through March and later received intervention March through May (17.5 hours). Paraeducators trained in a standard treatment protocol provided individual instruction for 30 min per day, 4 days per week. At the March posttest, the early treatment (ET  n = 23) group outperformed the controls (late treatment, LT  n = 20) on reading accuracy and passage fluency. Across both groups, second graders outperformed third graders on these same measures. At the 3-month follow-up, the ET group showed no evidence of decline in reading accuracy, passage fluency, or words spelled  however, 3rd-grade ET students had significantly higher spelling skills compared to 2nd graders. The LT group demonstrated significant growth during their intervention in reading accuracy and spelling, but not passage fluency. When we compared the ET and LT groups on their gains per instructional hour, we found that the ET group made significantly greater gains than the LT group across all 3 measures. The results support the value of paraeducator-supplemented reading instruction for students below grade level in word identification and reading fluency. ",0.4676,0.3096
37671638,Vadasy (2008),2008,"This study examined effects of a repeated reading intervention, Quick Reads, with incidental word-level scaffolding instruction. Second- and third-grade students with passage-reading fluency performance between the 10th and 60th percentiles were randomly assigned to dyads, which were in turn randomly assigned to treatment (paired tutoring, n = 82) or control (no tutoring, n = 80) conditions. Paraeducators tutored dyads for 30 min per day, 4 days per week, for 15 weeks (November-March). At midintervention, most teachers with students in the study were formally observed during their literacy blocks. Multilevel modeling was used to test for direct treatment effects on pretest-posttest gains as well as to test for unique treatment effects after classroom oral text reading time, 2 pretests, and corresponding interactions were accounted for. Model results revealed both direct and unique treatment effects on gains in word reading and fluency. Moreover, complex interactions between group, oral text reading time, and pretests were also detected, suggesting that pretest skills should be taken into account when considering repeated reading instruction for 2nd and 3rd graders with low to average passage-reading fluency. This study examined effects of a repeated reading intervention, Quick Reads, with incidental word-level scaffolding instruction. Second- and third-grade students with passage-reading fluency performance between the 10th and 60th percentiles were randomly assigned to dyads, which were in turn randomly assigned to treatment (paired tutoring, n = 82) or control (no tutoring, n = 80) conditions. Paraeducators tutored dyads for 30 min per day, 4 days per week, for 15 weeks (November-March). At midintervention, most teachers with students in the study were formally observed during their literacy blocks. Multilevel modeling was used to test for direct treatment effects on pretest-posttest gains as well as to test for unique treatment effects after classroom oral text reading time, 2 pretests, and corresponding interactions were accounted for. Model results revealed both direct and unique treatment effects on gains in word reading and fluency. Moreover, complex interactions between group, oral text reading time, and pretests were also detected, suggesting that pretest skills should be taken into account when considering repeated reading instruction for 2nd and 3rd graders with low to average passage-reading fluency.",-0.0062,0.1571
37671637,Vadasy (2008) TA,2008,"The purposes of this study were to replicate previous research on phonics-based tutoring in kindergarten and to compare treatment effects for students who received individual instruction compared to instruction in dyads. Thirty classroom teachers from 13 urban elementary schools referred at-risk students for participation. Students who met screening criteria were quasi-randomly assigned, within classroom, to one of three conditions  individual tutoring (n = 22), tutoring in dyads (n = 32), or no tutoring (n = 22, classroom instruction only). Twenty-one paraeducators provided 18 weeks of explicit instruction in phonemic skills and the alphabetic code to students during the latter half of kindergarten. Multilevel model results showed that tutored students outperformed non-tutored controls on posttest measures of phonological awareness, word reading accuracy, oral reading fluency, spelling, and comprehension. However, no significant differences were found between the two tutored groups on any measure, suggesting that code-oriented tutoring for pairs of students is a viable alternative to the gold standard of individual instruction. ",0.4354,0.2531
43090199,Vadasy (2008) TA,2008,"Many students have difficulty achieving reading fluency, and nearly half of fourth graders are not fluent readers in grade-level texts. Intensive and focused reading practice is recommended to help close the gap between students with poor fluency and their average reading peers. In this study, the ""Quick Reads"" fluency program was used as a supplemental fluency intervention for fourth and fifth graders with below-grade-level reading skills. ""Quick Reads"" prescribes a repeated reading procedure with short nonfiction texts written on grade-appropriate science and social science topics. Text characteristics are designed to promote word recognition skills. Students were randomly assigned to ""Quick Reads"" instruction that was implemented by trained paraeducator tutors with pairs of students for 30 minutes per day, 4 days per week, for 18 weeks. At posttest, ""Quick Reads"" students significantly outperformed classroom controls in vocabulary, word comprehension, and passage comprehension. Fluency rates for both treatment and control groups remained below grade level at posttest. (Contains 5 tables.)",0.4966,0.187
37671588,Vadasy (2009),2009,"This study replicates research on the efficacy of a repeated reading intervention with word-level instruction for students in Grades 2 and 3 with low to moderate fluency skills, examines differences between treatment implementers, and tests unique contributions of treatment-related variables on outcomes. Students from 13 schools were randomly assigned to dyads  dyads were randomly assigned to treatment or control conditions. Schools were matched into treatment implementer groups (teachers or paraeducators) at study onset. Tutoring occurred during school hours for 15 weeks (M = 25.5 hr). Multilevel model results showed treatment students (n = 98) gained more than controls (n = 104) on measures of letter-sound knowledge (d = 0.41), fluency (d = 0.37-0.38), and comprehension (d = 0.30-0.31)  students tutored by teachers gained more than their paraeducator-tutored peers on word reading and fluency. Finally, dyads tutored with greater fidelity gained more in word reading and fluency  dyads that read more complex words in their texts gained less on letter-sounds, fluency, and comprehension. (Contains 9 tables.)  ",0.1816,0.1802
37671589,Vadasy (2010),2010,"This study tested the efficacy of supplemental phonics instruction for 84 low-skilled language minority (LM) kindergarteners and 64 non-LM kindergarteners at 10 urban public schools. Paraeducators were trained to provide the 18-week (January-May) intervention. Students performing in the bottom half of their classroom language group (LM and non-LM) were randomly assigned either to individual supplemental instruction (treatment) or to classroom instruction only (control). Irrespective of their language status, treatment students (n = 67) significantly outperformed controls (n = 81) at posttest in alphabetics, word reading, spelling, passage reading fluency, and comprehension (average treatment d = 0.83)  nevertheless, LM students tended to have lower posttest performance than non-LM students (average LM d = -0.30) and were significantly less responsive to treatment on word reading. When we examined the contribution of classroom phonics time to student outcomes, we found that the treatment effect on spelling was greater for students in lower phonics classrooms, whereas the treatment effect on comprehension was greater for those in higher phonics classrooms. Finally, when we examined LM students alone, we found that pretest English receptive vocabulary positively predicted most posttests and interacted with treatment only on phonological awareness. In general, pretest vocabulary did not moderate kindergarten LM treatment response. (Contains 6 tables and 2 figures.) ",0.7665,0.2607
37671614,Vadasy (2013),2013,"This study examines the longer term effectiveness of a standard protocol, Tier 2 supplemental vocabulary intervention for kindergarten English learners, designed to develop root word vocabulary knowledge and reinforce beginning word reading skills. Participating students in the original study (n = 93 treatment, 92 control) received 20 weeks of small group instruction from paraeducator tutors during kindergarten. After attrition, students (n = 74 treatment, 66 control) were followed up midyear Grade 1 on English measures of proximal and distal vocabulary as well as word reading. At 6 months postintervention, the treatment benefits were maintained on all three outcomes, and furthermore, there was no evidence to suggest that early receptive vocabulary knowledge moderated longer term treatment effects. Results also showed kindergarten intervention year gains in proximal (i.e., root word) vocabulary uniquely predicted midyear Grade 1 distal vocabulary above and beyond kindergarten gains in distal vocabulary. Implications for English learner early intervention are discussed. This study examines the longer term effectiveness of a standard protocol, Tier 2 supplemental vocabulary intervention for kindergarten English learners, designed to develop root word vocabulary knowledge and reinforce beginning word reading skills. Participating students in the original study (n = 93 treatment, 92 control) received 20 weeks of small group instruction from paraeducator tutors during kindergarten. After attrition, students (n = 74 treatment, 66 control) were followed up midyear Grade 1 on English measures of proximal and distal vocabulary as well as word reading. At 6 months postintervention, the treatment benefits were maintained on all three outcomes, and furthermore, there was no evidence to suggest that early receptive vocabulary knowledge moderated longer term treatment effects. Results also showed kindergarten intervention year gains in proximal (i.e., root word) vocabulary uniquely predicted midyear Grade 1 distal vocabulary above and beyond kindergarten gains in distal vocabulary. Implications for English learner early intervention are discussed.",0.6942,0.2728
43090202,Wang (2008) TA,2008,"Reading problems are among the most prevalent concerns in schools  poor readers in elementary school who do not receive special assistance are particularly at risk for dismal academic careers. In a large-scale project, children with serious reading problems received targeted intervention to address critical early literacy skills. The assistance combined focused practice and frequent monitoring to provide instruction needed to improve reading skills. Participating students achieved significant gains in reading performance compared to a control group not receiving intervention. The outcomes of the study relate to continuing efforts to reduce the very large numbers of children failing to achieve early literacy skills in U.S. schools. © 2008 by the Association for Childhood Education International.",0.3489,0.1897
37671616,Welch (1995),1995,"Assessed the impact of the Consultation and Paraprofessional Pull-In System (CAPPS) approach to educational partnership for serving at-risk students and those with mild academic disabilities. CAPPS is the synthesis of 3 predominant methods of shared responsibility in service delivery  (1) resource/consulting teacher, (2) pull-in programming, and (3) use of paraprofessionals for service delivery. A description of the CAPPS model and its implementation in Grades 4–6 at an elementary school is provided using cross-grade grouping and outcome-based education as a basis for instructional programming and evaluation. Results from a quantitative and qualitative evaluation project designed to assess teacher attitudes, student outcomes, and number of referrals for special education services are presented. (PsycINFO Database Record (c) 2016 APA, all rights reserved) Assessed the impact of the Consultation and Paraprofessional Pull-In System (CAPPS) approach to educational partnership for serving at-risk students and those with mild academic disabilities. CAPPS is the synthesis of 3 predominant methods of shared responsibility in service delivery  (1) resource/consulting teacher, (2) pull-in programming, and (3) use of paraprofessionals for service delivery. A description of the CAPPS model and its implementation in Grades 4–6 at an elementary school is provided using cross-grade grouping and outcome-based education as a basis for instructional programming and evaluation. Results from a quantitative and qualitative evaluation project designed to assess teacher attitudes, student outcomes, and number of referrals for special education services are presented. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",-0.003,0.0646
37671591,Word (1990),1990,"This report presents results of Tennessee's 4-year longitudinal class size project  Student Teacher Achievement Ratio (STAR). The study analyzes student achievement and development in three class types  small classes with 13-17 students per teacher  regular classes with 22-25 students per teacher, and regular classes with 22-25 students per teacher assisted by a full-time teacher aide. Project STAR followed students from kindergarten through third grade, starting in 1985-1986 and ending in 1988-1989. Sections of this report concern  (1) background and purpose of the study  (2) study design  (3) descriptive data and teacher effectiveness  (4) primary findings  (5) the longitudinal analysis  (6) teacher in-service training  (7) effects of class size on classroom processes  (8) additional findings  (9) the cost-effectiveness of reducing class size or adding aides  and (10) a summary of the study. Numerous tables and figures supplement the text. Appended materials concern related legislation and literature, data processing issues, findings on teacher effectiveness, longitudinal tables across grades, student socioeconomic status, Project STAR Abstracts, and the relation of teacher aides to student performance. Citations number 156. (RH) ",0.018,0.0626
