id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,out_tit_tool,out_desc_tool,out_type_tool,smd_tool,se_tool,out_measure_tool,out_g1_n_tool,out_g1_mean_tool,out_g1_sd_tool,out_g2_n_tool,out_g2_mean_tool,out_g2_sd_tool,ci_lower_tool,ci_upper_tool,out_label_tool,out_samp_tool,out_comp_tool,out_es_type_tool,out_test_type_raw_tool,out_tit_red,out_desc_red,out_type_red,smd_red,se_red,out_measure_red,out_g1_n_red,out_g1_mean_red,out_g1_sd_red,out_g2_n_red,out_g2_mean_red,out_g2_sd_red,ci_lower_red,ci_upper_red,out_label_red,out_samp_red,out_comp_red,out_es_type_red,out_test_type_raw_red,out_tit_wri,out_desc_wri,out_type_wri,smd_wri,se_wri,out_measure_wri,out_g1_n_wri,out_g1_mean_wri,out_g1_sd_wri,out_g2_n_wri,out_g2_mean_wri,out_g2_sd_wri,ci_lower_wri,ci_upper_wri,out_label_wri,out_samp_wri,out_comp_wri,out_es_type_wri,out_test_type_raw_wri,out_tit_math,out_desc_math,out_type_math,smd_math,se_math,out_measure_math,out_g1_n_math,out_g1_mean_math,out_g1_sd_math,out_g2_n_math,out_g2_mean_math,out_g2_sd_math,ci_lower_math,ci_upper_math,out_label_math,out_samp_math,out_comp_math,out_es_type_math,out_test_type_raw_math,out_tit_sci,out_desc_sci,out_type_sci,smd_sci,se_sci,out_measure_sci,out_g1_n_sci,out_g1_mean_sci,out_g1_sd_sci,out_g2_n_sci,out_g2_mean_sci,out_g2_sd_sci,ci_lower_sci,ci_upper_sci,out_label_sci,out_samp_sci,out_comp_sci,out_es_type_sci,out_test_type_raw_sci,out_tit_fsm,out_desc_fsm,out_type_fsm,smd_fsm,se_fsm,out_measure_fsm,out_g1_n_fsm,out_g1_mean_fsm,out_g1_sd_fsm,out_g2_n_fsm,out_g2_mean_fsm,out_g2_sd_fsm,ci_lower_fsm,ci_upper_fsm,out_label_fsm,out_samp_fsm,out_comp_fsm,out_es_type_fsm,out_test_type_raw_fsm
74069988,Pastore (2008),2008,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading comprehension achievement,"Following the full-scale intervention, I collected posttest data across all groups utilizing a test with the same type and difficulty of questions with different passages","['Toolkit primary outcome', 'Reading primary outcome']",0.2733,0.7136,Literacy  reading comprehension,4,4.5,13.5,4,0.5,11.9,-1.1253,1.672,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],Reading comprehension achievement,"Following the full-scale intervention, I collected posttest data across all groups utilizing a test with the same type and difficulty of questions with different passages","['Toolkit primary outcome', 'Reading primary outcome']",0.2733,0.7136,Literacy  reading comprehension,4,4.5,13.5,4,0.5,11.9,-1.1253,1.672,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069989,Pilten (2016),2016,['Peer tutoring'],NA,NA,RCES total scores (posttest),"Reading Comprehension Evaluation Scale, which was developed by the researcher and implemented as pre-test and post-test on the work-group, consists of 2 expository texts from a primary school Turkish lesson course book, which was approved by the Ministry of National Education and not used in the classes of the work group, and intratextual understanding questions (4 items for each text), nontextual understanding questions (3 items for each text) and intertextual understanding questions (3 items for each text) on these two texts.","['Toolkit primary outcome', 'Reading primary outcome']",4.2186,0.5019,Literacy  reading comprehension,26,68.62,3.9,28,50.57,4.49,3.2348,5.2024,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],RCES total scores (posttest),"Reading Comprehension Evaluation Scale, which was developed by the researcher and implemented as pre-test and post-test on the work-group, consists of 2 expository texts from a primary school Turkish lesson course book, which was approved by the Ministry of National Education and not used in the classes of the work group, and intratextual understanding questions (4 items for each text), nontextual understanding questions (3 items for each text) and intertextual understanding questions (3 items for each text) on these two texts.","['Toolkit primary outcome', 'Reading primary outcome']",4.2186,0.5019,Literacy  reading comprehension,26,68.62,3.9,28,50.57,4.49,3.2348,5.2024,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069990,Puranik (2017),2017,['Peer tutoring'],NA,NA,TE_PRI_Letter Naming fluency,posttest means and SD's presented in table 2. Instructions say to combine but this is already done in table two. Means and SD's,"['Toolkit primary outcome', 'Reading primary outcome']",0.2664,0.3086,Literacy  reading other,24,53,16.1,19,49.1,11.8,-0.3384,0.8711,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],TE_PRI_Letter Naming fluency,posttest means and SD's presented in table 2. Instructions say to combine but this is already done in table two. Means and SD's,"['Toolkit primary outcome', 'Reading primary outcome']",0.2664,0.3086,Literacy  reading other,24,53,16.1,19,49.1,11.8,-0.3384,0.8711,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069991,Puranik (2018),2018,['Peer tutoring'],NA,NA,REC Sentence writing quality,t value provided in table 4 for PAWs vs control at posttest,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.5085,0.1667,Literacy  writing,78,3.1,0,71,0,0,0.1817,0.8353,Secondary outcome(s),['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment AND clustering'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069993,Rafdal (2011) 1_1,2011,['Peer tutoring'],NA,NA,REC Rapid Letter Sound,posttest means and SD's for rapid letter sound control vs K-PALS level 1 classrooms,"['Toolkit primary outcome', 'Reading primary outcome']",-0.0056,0.2775,Literacy  decoding/phonics,34,29.32,16.6,21,29.41,14.24,-0.5496,0.5384,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],REC Rapid Letter Sound,posttest means and SD's for rapid letter sound control vs K-PALS level 1 classrooms,"['Toolkit primary outcome', 'Reading primary outcome']",-0.0056,0.2775,Literacy  decoding/phonics,34,29.32,16.6,21,29.41,14.24,-0.5496,0.5384,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069994,Rafdal (2011) 1_2,2011,['Peer tutoring'],NA,NA,REC Rapid Letter Naming,posttest rapid letter naming measure for level 2 KPALS vs control,"['Toolkit primary outcome', 'Reading primary outcome']",-0.1864,0.2782,Literacy  decoding/phonics,34,34.63,16.78,21,37.42,10.6,-0.7316,0.3588,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],REC Rapid Letter Naming,posttest rapid letter naming measure for level 2 KPALS vs control,"['Toolkit primary outcome', 'Reading primary outcome']",-0.1864,0.2782,Literacy  decoding/phonics,34,34.63,16.78,21,37.42,10.6,-0.7316,0.3588,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069995,Rahman (2017),2017,['Peer tutoring'],NA,NA,TE_PRI_Word Attack Skills,post test p value fo mann whitney u test in table2. Peer tutored with LD vs control with LD,"['Toolkit primary outcome', 'Reading primary outcome']",1.9397,0.9065,Literacy  decoding/phonics,4,0,0,5,0.014,0,0.1629,3.7165,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],TE_PRI_Word Attack Skills,post test p value fo mann whitney u test in table2. Peer tutored with LD vs control with LD,"['Toolkit primary outcome', 'Reading primary outcome']",1.9397,0.9065,Literacy  decoding/phonics,4,0,0,5,0.014,0,0.1629,3.7165,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069996,Roma (2019),2019,['Peer tutoring'],NA,NA,T&T_Reading Comprehension,Only tutors and tutees outcome. Very little information provided about what constituted the peer tutoring strategy. Researcher developed test peer tutoring vs   ,"['Toolkit primary outcome', 'Reading primary outcome']",1.3343,0.2923,Literacy  reading comprehension,29,5.081,0,29,0,0,0.7614,1.9072,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],T&T_Reading Comprehension,Only tutors and tutees outcome. Very little information provided about what constituted the peer tutoring strategy. Researcher developed test peer tutoring vs   ,"['Toolkit primary outcome', 'Reading primary outcome']",1.3343,0.2923,Literacy  reading comprehension,29,5.081,0,29,0,0,0.7614,1.9072,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069997,Scruggs (2012),2012,['Peer tutoring'],NA,NA,REC_Social Studies test General edu experi vs Trad table 1 target items,Researcher developed social studies multiple choice target items that match topics taught in the intervention,"['Toolkit primary outcome', 'Other outcome']",0.2969,0.1744,Social Studies,66,12.38,3.1,67,11.36,3.7,-0.0449,0.6388,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069998,Simpkins (2009),2009,['Peer tutoring'],NA,NA,T&T_Gain Identification table 1,,"['Toolkit primary outcome', 'Science primary outcome']",-0.0608,0.2157,Science,43,4.56,3.1,43,4.72,2,-0.4836,0.362,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T&T_Gain Identification table 1,,"['Toolkit primary outcome', 'Science primary outcome']",-0.0608,0.2157,Science,43,4.56,3.1,43,4.72,2,-0.4836,0.362,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069999,Song (2017),2017,['Peer tutoring'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TE_SUB_Gain Standardised maths test tutees  table 2,standiardised maths test,['Mathematics primary outcome'],0.409,1.253,Mathematics,NA,NA,NA,NA,NA,NA,-2.0469,2.8649,Secondary outcome(s),['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment AND clustering'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070000,Spörer (2009),2009,['Peer tutoring'],NA,NA,REC_Reading Comp (ED) adjusted postest table 4,Reading comp researcher developed,"['Toolkit primary outcome', 'Reading primary outcome']",0.8235,0.186,Literacy  reading comprehension,60,6.39,2.58,66,4.47,2.05,0.459,1.1881,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Researcher developed test'],REC_Reading Comp (ED) adjusted postest table 4,Reading comp researcher developed,"['Toolkit primary outcome', 'Reading primary outcome']",0.8235,0.186,Literacy  reading comprehension,60,6.39,2.58,66,4.47,2.05,0.459,1.1881,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070001,Sumita (2021),2021,['Peer tutoring'],NA,NA,REC_Peer tutoring v STAD,reading comp 40 itmes,"['Toolkit primary outcome', 'Reading primary outcome']",-0.6213,0.2648,Literacy  reading comprehension,30,72.16,7.5,30,77.33,8.87,-1.1402,-0.1023,Primary outcome,['Sample: All'],With active control,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],REC_Peer tutoring v STAD,reading comp 40 itmes,"['Toolkit primary outcome', 'Reading primary outcome']",-0.6213,0.2648,Literacy  reading comprehension,30,72.16,7.5,30,77.33,8.87,-1.1402,-0.1023,Primary outcome,['Sample: All'],With active control,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070002,Takala (2006),2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Standardised reading comp hierachy posttest table 5,"The hierarchy-rating test (Lyytinen & Lehto, 1998)","['Toolkit primary outcome', 'Reading primary outcome']",0.3236,0.1624,Literacy  reading comprehension,74,11.55,3.558,80,10.369,3.699,0.0053,0.6418,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],REC_Standardised reading comp hierachy posttest table 5,"The hierarchy-rating test (Lyytinen & Lehto, 1998)","['Toolkit primary outcome', 'Reading primary outcome']",0.3236,0.1624,Literacy  reading comprehension,74,11.55,3.558,80,10.369,3.699,0.0053,0.6418,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070003,Thomas (2015),2015,['Peer tutoring'],NA,NA,TE_PRI_Regent Exam (Mathematics),posttest ES and SE for cohort one 2011-2012 Regent exam integrated algebra. Taken from p value but put in manually to add negative ES,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.171,0.0687,Mathematics,NA,NA,NA,NA,NA,NA,-0.3057,-0.0363,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TE_PRI_Regent Exam (Mathematics),posttest ES and SE for cohort one 2011-2012 Regent exam integrated algebra. Taken from p value but put in manually to add negative ES,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.171,0.0687,Mathematics,NA,NA,NA,NA,NA,NA,-0.3057,-0.0363,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070004,Thurston (2019),2019,['Peer tutoring'],NA,NA,T&T_Passage Comprehension,combined means and SD's for both oler tutors and younger tutees for passage comprehension,"['Toolkit primary outcome', 'Reading primary outcome']",-0.0637,0.0395,Literacy  reading comprehension,1228,346.23,63.327,1336,350.323,65.111,-0.1412,0.0138,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],T&T_Passage Comprehension,combined means and SD's for both oler tutors and younger tutees for passage comprehension,"['Toolkit primary outcome', 'Reading primary outcome']",-0.0637,0.0395,Literacy  reading comprehension,1228,346.23,63.327,1336,350.323,65.111,-0.1412,0.0138,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070005,Thurston (2021),2021,['Peer tutoring'],NA,NA,T&T Reading Comprehension,Posttest combined Tutors and Tutees outcome for intervention vs control,"['Toolkit primary outcome', 'Reading primary outcome']",0.0292,0.1183,Literacy  reading comprehension,141,99.313,16.761,145,98.84,15.507,-0.2026,0.2611,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],T&T Reading Comprehension,Posttest combined Tutors and Tutees outcome for intervention vs control,"['Toolkit primary outcome', 'Reading primary outcome']",0.0292,0.1183,Literacy  reading comprehension,141,99.313,16.761,145,98.84,15.507,-0.2026,0.2611,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070006,Tsuei (2020),2020,['Peer tutoring'],NA,NA,REC Retrieval of Information,posttest f-values for REC tutoring group vs control,"['Toolkit primary outcome', 'Reading primary outcome']",0.5278,0.0627,Literacy  reading comprehension,NA,NA,NA,NA,NA,NA,0.4049,0.6507,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],REC Retrieval of Information,posttest f-values for REC tutoring group vs control,"['Toolkit primary outcome', 'Reading primary outcome']",0.5278,0.0627,Literacy  reading comprehension,NA,NA,NA,NA,NA,NA,0.4049,0.6507,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070007,Udaka (2009),2009,['Peer tutoring'],NA,NA,PPVT-4,"The PPVT- 4, (Dunn & Dunn, 2007) is a norm – referenced instrument used for measuring the receptive vocabulary of children and adults, ages 2 years 6 months through 90 years and older","['Toolkit primary outcome', 'Reading primary outcome']",1.6133,0.4446,Literacy  speaking and listening/oral language,15,7.07,1.387,13,4.46,1.761,0.7418,2.4847,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],['Test type: Standardised test '],PPVT-4,"The PPVT- 4, (Dunn & Dunn, 2007) is a norm – referenced instrument used for measuring the receptive vocabulary of children and adults, ages 2 years 6 months through 90 years and older","['Toolkit primary outcome', 'Reading primary outcome']",1.6133,0.4446,Literacy  speaking and listening/oral language,15,7.07,1.387,13,4.46,1.761,0.7418,2.4847,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070008,Ullah (2018),2018,['Peer tutoring'],NA,['MT_2023 (in progress)'],T&T_Peer tutoring v control table 4,Researcher dev 50 marks biology comprehension,"['Toolkit primary outcome', 'Science primary outcome']",1.3015,0.3514,Science,20,36.05,5.4,20,27.25,7.66,0.6127,1.9903,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T&T_Peer tutoring v control table 4,Researcher dev 50 marks biology comprehension,"['Toolkit primary outcome', 'Science primary outcome']",1.3015,0.3514,Science,20,36.05,5.4,20,27.25,7.66,0.6127,1.9903,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74070009,Ullah (2020),2020,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
